deal_id,announcement_date,resolution_date,target_name,acquirer_name,deal_value_musd,industry,sector,target_country,acquirer_country,deal_status,payment_method,target_public,acquirer_public,regulatory_review,rumor_or_leak,source_notes,market_volatility_proxy,interest_rate_proxy,deal_completed
DEAL000014,2024-02-09,2024-12-01,Target_000014,Acquirer_002905,62.5,Technology,Semiconductors,Germany,Japan,completed,cash,private,public,standard,no,synthetic,16.79,9.0,1
DEAL000015,2011-02-09,2011-08-28,Target_000015,Acquirer_002775,158.3,Financials,Fintech,India,France,completed,stock,public,public,standard,no,synthetic,22.77,3.708702659776472,1
DEAL000016,2020-07-24,2020-11-27,Target_000016,Acquirer_003984,74.2,Technology,IT Services,US,US,completed,cash,public,public,standard,no,synthetic,24.5,2.5292556887329645,1
DEAL000017,2011-05-26,2011-09-12,Target_000017,Acquirer_004082,42.7,Healthcare,Biotech,US,Australia,withdrawn,cash,public,public,standard,yes,synthetic,15.56,3.951888861623156,0
DEAL000018,2011-09-01,2012-03-27,Target_000018,Acquirer_000266,313.6,Technology,IT Services,US,Japan,cancelled,unknown,private,public,standard,no,synthetic,18.01,3.761376786582861,0
DEAL000019,2023-07-08,2023-11-30,Target_000019,Acquirer_004167,41.7,Financials,Insurance,US,US,completed,cash,private,public,none,no,synthetic,15.22,7.30139007702002,1
DEAL000020,2017-06-06,2017-11-16,Target_000020,Acquirer_004287,278.3,Technology,Hardware,Germany,India,withdrawn,stock,public,public,standard,no,synthetic,13.61,3.401198193485644,0
DEAL000021,2001-04-21,2001-09-19,Target_000021,Acquirer_004581,1556.3,Industrials,Aerospace & Defense,US,China,cancelled,stock,public,public,standard,no,synthetic,27.92,5.231371618586116,0
DEAL000022,2010-08-06,2010-12-23,Target_000022,Acquirer_000475,1282.9,Materials,Construction Materials,US,France,completed,mixed,public,private,none,yes,synthetic,17.18,4.784491373310688,1
DEAL000023,1998-08-12,1999-02-28,Target_000023,Acquirer_003080,80.9,Healthcare,Medical Devices,France,Germany,completed,cash,public,public,standard,no,synthetic,18.22,5.9055561141490776,1
DEAL000024,2020-07-03,2021-02-10,Target_000024,Acquirer_003289,2026.2,Technology,Hardware,US,Canada,completed,cash,private,public,standard,no,synthetic,26.41,2.9881372957126904,1
DEAL000025,2023-11-17,2024-07-31,Target_000025,Acquirer_001916,45.2,Healthcare,Pharmaceuticals,India,China,completed,mixed,public,private,standard,no,synthetic,18.03,8.021584236174796,1
DEAL000026,2003-11-10,2004-07-10,Target_000026,Acquirer_002941,11.0,Consumer,Telecom,France,Canada,completed,stock,public,public,standard,no,synthetic,14.16,4.77234548398983,1
DEAL000027,2011-10-20,2012-04-13,Target_000027,Acquirer_001419,240.2,Technology,Semiconductors,India,China,withdrawn,unknown,public,private,standard,no,synthetic,19.9,4.141684549646027,0
DEAL000028,1996-06-03,1997-02-02,Target_000028,Acquirer_000027,148.6,Materials,Chemicals,France,US,completed,cash,public,private,none,no,synthetic,16.3,6.299773559891096,1
DEAL000029,2019-10-10,2020-06-12,Target_000029,Acquirer_000624,69.8,Consumer,Food & Beverage,US,US,completed,stock,private,public,none,no,synthetic,22.29,2.654746458506539,1
DEAL000030,2017-09-24,2018-03-19,Target_000030,Acquirer_000211,46.5,Industrials,Machinery,US,US,completed,mixed,private,public,none,yes,synthetic,15.33,3.008286689324978,1
DEAL000031,2008-12-12,2009-04-30,Target_000031,Acquirer_002890,132.4,Healthcare,Pharmaceuticals,India,Canada,withdrawn,stock,private,private,standard,yes,synthetic,30.0,5.220405024050519,0
DEAL000032,2018-10-12,2019-05-09,Target_000032,Acquirer_002043,354.6,Industrials,Machinery,France,US,completed,cash,public,public,standard,yes,synthetic,23.29,3.582397347962919,1
DEAL000033,2011-11-12,2012-06-20,Target_000033,Acquirer_003937,560.5,Industrials,Machinery,France,US,completed,stock,public,public,standard,no,synthetic,21.59,4.086608071269283,1
DEAL000034,2003-10-17,2004-05-17,Target_000034,Acquirer_002470,61.7,Consumer,Retail,US,UK,completed,cash,public,private,standard,yes,synthetic,19.35,4.9665307777814345,1
DEAL000035,2008-08-30,2009-04-02,Target_000035,Acquirer_000768,1712.6,Consumer,Media,Australia,China,completed,stock,public,public,standard,no,synthetic,31.08,4.216171085580204,1
DEAL000036,2022-11-04,2023-04-20,Target_000036,Acquirer_002625,725.0,Industrials,Machinery,US,Japan,completed,cash,public,private,none,no,synthetic,15.78,5.654313734528094,1
DEAL000037,2005-07-12,2005-12-09,Target_000037,Acquirer_002346,326.1,Technology,Hardware,Japan,Canada,completed,cash,public,private,none,yes,synthetic,19.6,4.614491472952903,1
DEAL000038,2003-10-18,2004-09-13,Target_000038,Acquirer_003245,321.0,Healthcare,Health Services,Australia,Germany,completed,stock,private,public,standard,no,synthetic,19.87,5.24401517506244,1
DEAL000039,2006-09-22,2007-06-15,Target_000039,Acquirer_004251,71.5,Energy,Renewables,Australia,US,completed,cash,public,public,standard,yes,synthetic,19.34,4.720456823420865,1
DEAL000040,2003-07-08,2004-03-12,Target_000040,Acquirer_001537,504.0,Technology,IT Services,India,Canada,completed,stock,public,public,standard,no,synthetic,14.81,5.624474440004868,1
DEAL000041,2010-12-08,2011-05-04,Target_000041,Acquirer_004334,142.5,Consumer,Food & Beverage,India,Canada,completed,cash,private,public,standard,no,synthetic,22.17,3.6910502749840384,1
DEAL000042,2004-08-20,2005-04-29,Target_000042,Acquirer_004927,101.4,Technology,IT Services,Japan,Australia,completed,stock,private,public,standard,unknown,synthetic,16.44,4.705353886759106,1
DEAL000043,1997-08-06,1998-03-25,Target_000043,Acquirer_003376,46.9,Financials,Fintech,US,India,completed,mixed,private,private,standard,no,synthetic,18.6,5.624409279442841,1
DEAL000044,2023-08-07,2024-03-09,Target_000044,Acquirer_002006,448.9,Energy,Oil & Gas,China,Japan,completed,mixed,private,public,standard,no,synthetic,24.37,7.327892293820267,1
DEAL000045,2011-12-10,2012-07-07,Target_000045,Acquirer_001709,528.1,Materials,Construction Materials,US,China,completed,mixed,private,private,standard,no,synthetic,17.65,4.2961027067874245,1
DEAL000046,2002-05-13,2002-11-11,Target_000046,Acquirer_000335,2702.2,Energy,Renewables,US,US,completed,cash,public,public,standard,no,synthetic,21.76,4.543214940332095,1
DEAL000047,2006-01-20,2006-08-17,Target_000047,Acquirer_004545,19.6,Materials,Metals & Mining,US,Australia,completed,stock,private,public,none,unknown,synthetic,14.75,5.034323158525735,1
DEAL000048,1997-10-04,1998-04-04,Target_000048,Acquirer_002191,172.4,Energy,Oil & Gas,Japan,France,cancelled,stock,private,public,standard,no,synthetic,16.91,5.678358731635208,0
DEAL000049,2023-02-07,2023-11-16,Target_000049,Acquirer_000515,7.6,Energy,Oil & Gas,US,China,completed,cash,public,public,standard,no,synthetic,20.78,7.391975739523719,1
DEAL000050,2022-01-13,2022-08-13,Target_000050,Acquirer_001970,511.7,Industrials,Machinery,US,Canada,completed,cash,public,public,standard,unknown,synthetic,17.5,4.633643630358348,1
DEAL000051,2009-07-19,2009-11-27,Target_000051,Acquirer_001212,1202.3,Consumer,Media,US,France,terminated,stock,private,public,standard,no,synthetic,21.41,3.86218564989179,0
DEAL000052,1998-08-09,1998-12-05,Target_000052,Acquirer_000553,742.9,Technology,Hardware,US,US,withdrawn,stock,public,public,none,no,synthetic,18.29,6.112335290540212,0
DEAL000053,2003-03-16,2003-08-12,Target_000053,Acquirer_004923,4784.5,Materials,Metals & Mining,Canada,Australia,withdrawn,cash,private,public,standard,no,synthetic,22.16,5.344148457144511,0
DEAL000054,2016-05-11,2016-12-24,Target_000054,Acquirer_003692,2759.3,Healthcare,Medical Devices,China,US,completed,cash,private,public,standard,yes,synthetic,15.27,3.558796521799536,1
DEAL000055,2022-10-19,2023-03-08,Target_000055,Acquirer_000634,846.7,Technology,IT Services,India,UK,completed,mixed,private,public,standard,no,synthetic,16.13,4.619873784430742,1
DEAL000056,2001-07-02,2002-02-01,Target_000056,Acquirer_004369,1084.5,Technology,Software,France,Australia,completed,cash,public,public,standard,no,synthetic,29.18,5.789991860136833,1
DEAL000057,2022-10-20,2023-02-10,Target_000057,Acquirer_002601,93.1,Energy,Utilities,US,UK,cancelled,cash,public,private,standard,no,synthetic,18.68,4.66422839956337,0
DEAL000058,2014-09-08,2015-02-03,Target_000058,Acquirer_003708,185.6,Materials,Metals & Mining,UK,US,terminated,mixed,private,public,standard,yes,synthetic,16.12,3.3022615815689886,0
DEAL000059,2024-08-26,2024-12-28,Target_000059,Acquirer_001973,192.5,Financials,Fintech,China,France,withdrawn,cash,public,public,standard,no,synthetic,17.1,9.0,0
DEAL000060,2004-12-04,2005-05-15,Target_000060,Acquirer_001217,601.8,Industrials,Aerospace & Defense,UK,China,terminated,cash,private,private,standard,no,synthetic,14.65,4.797222500490976,0
DEAL000061,2003-02-05,2003-08-28,Target_000061,Acquirer_001262,11.7,Industrials,Transportation,Canada,US,withdrawn,cash,private,private,standard,no,synthetic,16.48,4.621211362839682,0
DEAL000062,2019-09-05,2020-03-05,Target_000062,Acquirer_000826,95.9,Consumer,Media,France,Germany,completed,cash,public,private,none,no,synthetic,26.33,2.395743172029552,1
DEAL000063,1997-04-02,1998-01-28,Target_000063,Acquirer_004480,4868.0,Healthcare,Medical Devices,India,US,completed,unknown,public,private,standard,no,synthetic,19.39,5.621132919898296,1
DEAL000064,2011-07-06,2012-01-22,Target_000064,Acquirer_000806,13.2,Energy,Utilities,US,US,completed,unknown,private,public,standard,no,synthetic,17.59,4.215516926876085,1
DEAL000065,2001-04-17,2001-10-02,Target_000065,Acquirer_000817,2620.4,Materials,Chemicals,Canada,US,withdrawn,stock,public,public,standard,yes,synthetic,26.38,5.704557583827181,0
DEAL000066,2020-05-07,2021-03-13,Target_000066,Acquirer_002343,0.9,Materials,Chemicals,Japan,UK,completed,unknown,private,public,standard,yes,synthetic,26.04,3.777168124961194,1
DEAL000067,2002-02-09,2002-08-08,Target_000067,Acquirer_000011,187.8,Materials,Metals & Mining,Canada,Japan,completed,unknown,public,public,standard,no,synthetic,23.24,5.17752722775097,1
DEAL000068,2008-01-02,2008-08-03,Target_000068,Acquirer_002998,119.3,Consumer,Media,Canada,France,completed,stock,private,public,standard,no,synthetic,27.68,4.692792593504557,1
DEAL000069,2017-10-11,2018-02-23,Target_000069,Acquirer_001831,2036.3,Industrials,Aerospace & Defense,US,China,withdrawn,mixed,public,public,standard,no,synthetic,18.33,3.599501252750473,0
DEAL000070,2019-12-28,2020-05-19,Target_000070,Acquirer_003314,126.2,Technology,Semiconductors,China,China,completed,cash,public,public,none,no,synthetic,24.74,2.601581935728671,1
DEAL000071,2004-02-19,2004-07-02,Target_000071,Acquirer_001012,355.7,Healthcare,Biotech,China,China,completed,stock,private,private,none,no,synthetic,18.06,5.378212909915872,1
DEAL000072,2011-10-16,2012-05-06,Target_000072,Acquirer_003051,220.9,Technology,IT Services,UK,India,completed,cash,private,private,standard,no,synthetic,19.75,4.090770354949063,1
DEAL000073,2023-09-05,2024-04-14,Target_000073,Acquirer_003724,426.8,Materials,Chemicals,Australia,US,completed,mixed,private,public,standard,no,synthetic,18.37,7.654468767206385,1
DEAL000074,2004-04-21,2004-10-22,Target_000074,Acquirer_000838,1210.0,Healthcare,Medical Devices,Japan,Germany,completed,cash,public,private,standard,no,synthetic,17.55,4.514153214772829,1
DEAL000075,2023-06-06,2024-06-12,Target_000075,Acquirer_004664,14970.2,Healthcare,Pharmaceuticals,Canada,Australia,completed,unknown,public,public,extended,no,synthetic,18.28,7.326666734869333,1
DEAL000076,2000-07-07,2000-11-07,Target_000076,Acquirer_003430,224.2,Financials,Asset Management,Germany,US,cancelled,stock,private,private,standard,unknown,synthetic,23.81,5.869465404537636,0
DEAL000077,2018-02-16,2018-06-14,Target_000077,Acquirer_004106,29.0,Financials,Insurance,Japan,Australia,withdrawn,cash,public,public,none,no,synthetic,17.41,3.180812518896229,0
DEAL000078,2010-10-16,2011-08-11,Target_000078,Acquirer_003873,,Technology,Software,US,Australia,completed,cash,private,private,standard,no,synthetic,13.03,3.822317059208209,1
DEAL000079,2008-04-11,2008-07-10,Target_000079,Acquirer_003761,242.9,Financials,Asset Management,China,US,failed,stock,private,public,none,no,synthetic,27.37,4.445811152775027,0
DEAL000080,1997-10-09,1998-01-01,Target_000080,Acquirer_003267,333.3,Financials,Asset Management,India,India,completed,cash,public,private,none,no,synthetic,14.46,5.395171829450252,1
DEAL000081,1996-03-09,1996-11-01,Target_000081,Acquirer_003552,8832.0,Energy,Utilities,Germany,UK,completed,cash,public,public,standard,no,synthetic,15.51,5.966059787335196,1
DEAL000082,2017-11-18,2018-08-25,Target_000082,Acquirer_002820,30.5,Healthcare,Pharmaceuticals,Germany,Canada,completed,stock,public,public,standard,no,synthetic,18.92,3.51518615218984,1
DEAL000083,2020-05-16,2020-11-28,Target_000083,Acquirer_002928,4026.7,Materials,Metals & Mining,US,Canada,completed,cash,private,public,standard,yes,synthetic,26.03,3.0480906837898343,1
DEAL000084,2005-12-20,2006-08-10,Target_000084,Acquirer_001324,6784.9,Financials,Banks,US,UK,failed,stock,public,private,standard,no,synthetic,14.58,4.105752528007843,0
DEAL000085,2016-01-25,2016-08-02,Target_000085,Acquirer_002006,57.3,Energy,Oil & Gas,India,US,completed,cash,private,public,standard,no,synthetic,15.19,2.926348667240691,1
DEAL000086,2009-08-20,2010-01-19,Target_000086,Acquirer_000516,559.6,Technology,IT Services,US,India,completed,mixed,public,public,standard,no,synthetic,23.68,4.1451402486172135,1
DEAL000087,2003-11-09,2004-04-21,Target_000087,Acquirer_003293,67.0,Energy,Utilities,Germany,US,withdrawn,unknown,public,public,standard,no,synthetic,16.96,5.489734532989796,0
DEAL000088,2011-04-05,2011-11-10,Target_000088,Acquirer_003344,587.2,Consumer,Telecom,India,US,completed,cash,private,public,standard,no,synthetic,18.1,3.810100220352454,1
DEAL000089,2005-09-24,2006-01-25,Target_000089,Acquirer_002328,10.8,Consumer,Retail,Australia,US,completed,cash,private,public,standard,no,synthetic,20.07,4.897882618057125,1
DEAL000090,2002-03-25,2002-08-12,Target_000090,Acquirer_004278,20.8,Energy,Oil & Gas,India,Japan,completed,cash,public,private,none,no,synthetic,25.03,5.521542027973473,1
DEAL000091,2022-05-23,2022-11-30,Target_000091,Acquirer_000591,131.5,Financials,Fintech,UK,US,completed,mixed,private,public,standard,no,synthetic,17.5,5.270417747849045,1
DEAL000092,2014-03-04,2014-10-12,Target_000092,Acquirer_000200,21.2,Industrials,Aerospace & Defense,UK,US,withdrawn,stock,public,public,standard,yes,synthetic,13.31,3.2300935944729146,0
DEAL000093,2012-11-22,2013-06-27,Target_000093,Acquirer_002145,160.7,Industrials,Transportation,Australia,UK,completed,unknown,public,public,standard,no,synthetic,18.82,3.6270858474391696,1
DEAL000094,2005-01-06,2005-08-05,Target_000094,Acquirer_004173,375.8,Materials,Construction Materials,Australia,US,completed,cash,public,private,standard,no,synthetic,17.06,5.196524576429827,1
DEAL000095,2010-11-22,2011-06-27,Target_000095,Acquirer_004336,1624.5,Financials,Banks,India,China,cancelled,mixed,private,private,standard,no,synthetic,18.14,4.325813795613305,0
DEAL000096,2018-02-28,2018-06-04,Target_000096,Acquirer_001807,173.0,Energy,Renewables,Canada,US,completed,cash,public,public,none,no,synthetic,16.33,3.730957453668014,1
DEAL000097,2004-03-12,2004-10-27,Target_000097,Acquirer_004680,168.4,Materials,Construction Materials,US,France,completed,unknown,public,public,standard,yes,synthetic,16.6,5.237868244651364,1
DEAL000098,2019-02-04,2019-10-11,Target_000098,Acquirer_004320,6276.7,Healthcare,Medical Devices,Japan,France,completed,unknown,public,public,standard,no,synthetic,22.11,3.0212088748103505,1
DEAL000099,2013-11-16,2014-06-12,Target_000099,Acquirer_002173,56.4,Financials,Banks,France,US,completed,cash,private,public,standard,no,synthetic,15.83,3.135814700616857,1
DEAL000100,2004-01-12,2004-08-12,Target_000100,Acquirer_002108,1189.5,Materials,Chemicals,Canada,India,completed,cash,public,public,standard,no,synthetic,23.91,5.566576040235762,1
DEAL000101,2019-03-26,2019-12-30,Target_000101,Acquirer_002140,122.4,Consumer,Media,France,Australia,completed,unknown,private,public,standard,no,synthetic,22.63,2.72015557939291,1
DEAL000102,2006-09-16,2007-04-14,Target_000102,Acquirer_001077,28.8,Energy,Oil & Gas,China,Germany,completed,mixed,public,public,standard,no,synthetic,18.03,4.634880401346957,1
DEAL000103,2004-03-13,2004-06-19,Target_000103,Acquirer_004414,515.4,Healthcare,Biotech,US,US,withdrawn,mixed,private,public,none,no,synthetic,18.87,5.031496385314531,0
DEAL000104,2008-04-05,2009-02-28,Target_000104,Acquirer_004075,39.4,Energy,Oil & Gas,Japan,US,completed,unknown,private,public,standard,no,synthetic,28.2,4.639487776427889,1
DEAL000105,2001-04-28,2001-12-02,Target_000105,Acquirer_001514,503.8,Healthcare,Biotech,US,China,completed,cash,public,public,standard,no,synthetic,25.07,4.576187705714752,1
DEAL000106,2020-02-20,2020-08-02,Target_000106,Acquirer_000405,1116.9,Materials,Metals & Mining,Japan,Japan,terminated,cash,public,public,none,no,synthetic,30.44,2.414068761415584,0
DEAL000107,2015-05-15,2015-08-24,Target_000107,Acquirer_002008,780.5,Materials,Chemicals,Australia,US,failed,cash,public,private,none,no,synthetic,19.38,3.688203642545003,0
DEAL000108,1996-02-03,1996-08-17,Target_000108,Acquirer_004059,704.4,Industrials,Transportation,US,US,completed,cash,private,public,none,no,synthetic,15.65,5.746074734411417,1
DEAL000109,2024-08-04,2024-12-08,Target_000109,Acquirer_003859,159.2,Energy,Utilities,US,France,withdrawn,unknown,private,public,standard,yes,synthetic,12.46,9.0,0
DEAL000110,2005-10-24,2006-07-19,Target_000110,Acquirer_000977,910.6,Consumer,Retail,UK,US,completed,cash,public,private,none,no,synthetic,18.96,5.0110153675918365,1
DEAL000111,2024-10-17,2025-02-10,Target_000111,Acquirer_002341,1210.8,Consumer,Retail,Japan,UK,terminated,cash,public,public,standard,no,synthetic,17.46,9.0,0
DEAL000112,2010-11-21,2011-07-27,Target_000112,Acquirer_001995,15.4,Financials,Fintech,US,France,completed,cash,public,public,standard,no,synthetic,18.68,4.632820915365671,1
DEAL000113,2020-11-20,2021-03-09,Target_000113,Acquirer_003799,63.7,Materials,Metals & Mining,US,Germany,completed,cash,private,private,standard,no,synthetic,22.27,2.7984872555501807,1
DEAL000114,2008-04-13,2008-11-19,Target_000114,Acquirer_002526,239.9,Technology,Hardware,US,China,cancelled,stock,public,private,standard,no,synthetic,30.07,4.285748007390735,0
DEAL000115,2019-08-11,2020-04-03,Target_000115,Acquirer_003191,42.5,Materials,Chemicals,India,UK,completed,stock,private,public,standard,no,synthetic,24.93,2.730527825606068,1
DEAL000116,2018-08-14,2019-03-05,Target_000116,Acquirer_003031,19.6,Financials,Banks,Japan,US,completed,stock,private,public,standard,no,synthetic,16.85,3.63136832491206,1
DEAL000117,2017-10-05,2017-12-10,Target_000117,Acquirer_000254,,Technology,Hardware,UK,Australia,terminated,mixed,public,private,standard,no,synthetic,14.88,3.4340848062718203,0
DEAL000118,2008-10-31,2009-04-02,Target_000118,Acquirer_002658,6.8,Industrials,Aerospace & Defense,France,India,terminated,stock,public,public,standard,no,synthetic,28.37,3.5297054385112987,0
DEAL000119,2019-12-15,2020-05-18,Target_000119,Acquirer_000450,29.7,Financials,Fintech,US,US,completed,cash,public,private,none,yes,synthetic,25.0,2.7982910773200427,1
DEAL000120,2004-12-01,2005-07-09,Target_000120,Acquirer_002236,25.5,Industrials,Machinery,Germany,UK,withdrawn,cash,public,public,standard,no,synthetic,17.03,5.550957465989868,0
DEAL000121,2021-07-25,2021-12-01,Target_000121,Acquirer_003444,845.0,Consumer,Retail,US,Canada,cancelled,mixed,public,public,standard,no,synthetic,22.69,3.657057681559702,0
DEAL000122,2013-09-02,2014-04-05,Target_000122,Acquirer_000433,178.3,Technology,Hardware,Canada,Canada,completed,cash,public,public,none,no,synthetic,16.87,3.818807056766821,1
DEAL000123,2016-12-02,2017-06-25,Target_000123,Acquirer_003009,303.7,Materials,Construction Materials,Canada,France,completed,mixed,public,public,none,no,synthetic,19.72,3.885153476689262,1
DEAL000124,2008-05-08,2008-09-21,Target_000124,Acquirer_002159,218.8,Healthcare,Pharmaceuticals,US,France,failed,mixed,private,public,standard,no,synthetic,27.81,4.262795138703413,0
DEAL000125,2000-06-08,2001-02-17,Target_000125,Acquirer_003780,221.2,Healthcare,Pharmaceuticals,Australia,US,completed,mixed,private,public,standard,no,synthetic,22.53,5.295149169931023,1
DEAL000126,2005-11-19,2006-03-20,Target_000126,Acquirer_001019,701.9,Industrials,Transportation,Australia,US,cancelled,stock,private,public,standard,no,synthetic,15.83,4.739418166182345,0
DEAL000127,2001-01-21,2001-07-10,Target_000127,Acquirer_003745,150.2,Energy,Renewables,France,China,completed,cash,public,public,none,no,synthetic,21.85,4.534908596906113,1
DEAL000128,2024-04-21,2024-12-20,Target_000128,Acquirer_001375,313.2,Financials,Banks,US,Australia,failed,cash,public,public,standard,yes,synthetic,18.98,9.0,0
DEAL000129,1999-08-29,2000-05-16,Target_000129,Acquirer_002747,,Technology,IT Services,US,UK,completed,cash,public,public,none,no,synthetic,16.19,4.8786418754234,1
DEAL000130,2017-06-21,2017-12-11,Target_000130,Acquirer_003557,1869.0,Healthcare,Medical Devices,US,Canada,completed,cash,public,public,standard,unknown,synthetic,14.1,3.4871432897910384,1
DEAL000131,2016-02-24,2016-10-12,Target_000131,Acquirer_002274,92.5,Healthcare,Pharmaceuticals,US,Germany,completed,cash,public,private,standard,no,synthetic,19.51,3.347989575400604,1
DEAL000132,2021-04-26,2021-09-08,Target_000132,Acquirer_004853,425.5,Consumer,Media,India,US,completed,stock,public,private,none,no,synthetic,17.64,3.160139213703102,1
DEAL000133,2016-05-19,2016-10-28,Target_000133,Acquirer_002549,1204.1,Consumer,Retail,Australia,China,completed,cash,private,public,standard,no,synthetic,13.7,3.2385631525922665,1
DEAL000134,2023-06-17,2023-11-10,Target_000134,Acquirer_001208,38.7,Materials,Metals & Mining,UK,Japan,completed,unknown,private,public,none,no,synthetic,17.05,6.768857521432847,1
DEAL000135,2008-01-15,2008-07-09,Target_000135,Acquirer_001675,319.9,Energy,Utilities,Japan,Germany,completed,mixed,public,private,none,no,synthetic,26.02,4.205579344009776,1
DEAL000136,2003-11-07,2004-03-21,Target_000136,Acquirer_001432,458.4,Healthcare,Pharmaceuticals,China,Germany,completed,cash,public,public,standard,no,synthetic,18.42,5.76863467318834,1
DEAL000137,2007-12-26,2008-07-04,Target_000137,Acquirer_001970,460.8,Technology,Semiconductors,US,US,withdrawn,mixed,public,public,standard,no,synthetic,26.47,4.263113172587744,0
DEAL000138,2024-06-01,2024-12-13,Target_000138,Acquirer_003937,398.6,Industrials,Aerospace & Defense,Japan,Japan,completed,stock,private,private,standard,yes,synthetic,19.09,9.0,1
DEAL000139,1998-04-04,1998-09-22,Target_000139,Acquirer_002398,566.0,Energy,Oil & Gas,Australia,US,terminated,unknown,public,public,standard,yes,synthetic,18.41,5.728766769958387,0
DEAL000140,2024-03-30,2024-10-17,Target_000140,Acquirer_002241,30.0,Healthcare,Health Services,Germany,US,withdrawn,cash,private,public,standard,no,synthetic,16.77,9.0,0
DEAL000141,2010-09-13,2010-12-07,Target_000141,Acquirer_001744,883.6,Industrials,Machinery,US,UK,withdrawn,mixed,public,public,standard,no,synthetic,19.61,4.220902663858966,0
DEAL000142,2015-09-04,2016-01-08,Target_000142,Acquirer_004684,530.9,Consumer,Food & Beverage,US,Australia,terminated,unknown,private,public,standard,no,synthetic,18.68,3.681875032245593,0
DEAL000143,2013-07-19,2013-11-30,Target_000143,Acquirer_001201,26.8,Healthcare,Biotech,US,Japan,failed,cash,public,public,standard,no,synthetic,18.13,2.9275967975762485,0
DEAL000144,2013-05-20,2013-08-21,Target_000144,Acquirer_002659,191.9,Materials,Metals & Mining,India,Japan,terminated,cash,private,public,standard,no,synthetic,20.05,3.82783701318308,0
DEAL000145,2008-12-01,2009-05-19,Target_000145,Acquirer_000170,75.9,Consumer,Retail,US,US,completed,mixed,private,public,none,no,synthetic,29.66,4.596181972821553,1
DEAL000146,2024-02-29,2024-06-12,Target_000146,Acquirer_001351,243.2,Financials,Fintech,Canada,US,failed,mixed,public,public,none,no,synthetic,18.17,9.0,0
DEAL000147,2023-12-26,2024-07-06,Target_000147,Acquirer_004837,125.6,Healthcare,Medical Devices,India,Canada,withdrawn,mixed,public,public,standard,no,synthetic,21.15,7.4520138757629315,0
DEAL000148,2005-10-08,2006-04-18,Target_000148,Acquirer_002561,128.2,Industrials,Aerospace & Defense,Japan,Germany,completed,cash,private,public,standard,no,synthetic,19.52,4.963012925239056,1
DEAL000149,2009-08-28,2009-12-05,Target_000149,Acquirer_002411,1558.9,Healthcare,Medical Devices,US,US,completed,unknown,public,public,none,no,synthetic,21.97,3.969672151046924,1
