deal_id,announcement_date,resolution_date,target_name,acquirer_name,deal_value_musd,industry,sector,target_country,acquirer_country,deal_status,payment_method,target_public,acquirer_public,regulatory_review,rumor_or_leak,source_notes,market_volatility_proxy,interest_rate_proxy,deal_completed,election_year,new_president_year,months_to_election,months_after_election,transition_year,deal_value_missing,deal_value_log,time_to_close_or_cancel,cross_border_deal,public_target,public_acquirer,rumor_or_leak_indicator,antitrust_risk_proxy
DEAL000017,2011-05-26,2011-09-12,Target_000017,Acquirer_004082,42.7,Healthcare,Biotech,US,Australia,withdrawn,cash,public,public,standard,yes,synthetic,15.56,3.951888861623156,0,0,0,18.0,0.0,0,0,3.7773481021015445,109,1,1,1,1,0.4
DEAL000018,2011-09-01,2012-03-27,Target_000018,Acquirer_000266,313.6,Technology,IT Services,US,Japan,cancelled,unknown,private,public,standard,no,synthetic,18.01,3.761376786582861,0,0,0,14.0,0.0,0,0,5.751301990624177,208,1,0,1,0,0.4
DEAL000019,2023-07-08,2023-11-30,Target_000019,Acquirer_004167,41.7,Financials,Insurance,US,US,completed,cash,private,public,none,no,synthetic,15.22,7.30139007702002,1,0,0,16.0,0.0,0,0,3.754198920234579,145,0,0,1,0,0.0
DEAL000020,2017-06-06,2017-11-16,Target_000020,Acquirer_004287,278.3,Technology,Hardware,Germany,India,withdrawn,stock,public,public,standard,no,synthetic,13.61,3.401198193485644,0,0,1,0.0,7.0,0,0,5.632286472951131,163,1,1,1,0,0.4
DEAL000021,2001-04-21,2001-09-19,Target_000021,Acquirer_004581,1556.3,Industrials,Aerospace & Defense,US,China,cancelled,stock,public,public,standard,no,synthetic,27.92,5.231371618586116,0,0,1,0.0,5.0,1,0,7.350708831501293,151,1,1,1,0,0.65
DEAL000022,2010-08-06,2010-12-23,Target_000022,Acquirer_000475,1282.9,Materials,Construction Materials,US,France,completed,mixed,public,private,none,yes,synthetic,17.18,4.784491373310688,1,0,0,0.0,21.0,0,0,7.157657599597038,139,1,1,0,1,0.15
DEAL000023,1998-08-12,1999-02-28,Target_000023,Acquirer_003080,80.9,Healthcare,Medical Devices,France,Germany,completed,cash,public,public,standard,no,synthetic,18.22,5.9055561141490776,1,0,0,0.0,21.0,0,0,4.405498990859024,200,1,1,1,0,0.4
DEAL000024,2020-07-03,2021-02-10,Target_000024,Acquirer_003289,2026.2,Technology,Hardware,US,Canada,completed,cash,private,public,standard,no,synthetic,26.41,2.9881372957126904,1,1,0,4.0,0.0,1,0,7.614410809566874,222,1,0,1,0,0.5
DEAL000025,2023-11-17,2024-07-31,Target_000025,Acquirer_001916,45.2,Healthcare,Pharmaceuticals,India,China,completed,mixed,public,private,standard,no,synthetic,18.03,8.021584236174796,1,0,0,12.0,0.0,0,0,3.832979798087693,257,1,1,0,0,0.65
DEAL000026,2003-11-10,2004-07-10,Target_000026,Acquirer_002941,11.0,Consumer,Telecom,France,Canada,completed,stock,public,public,standard,no,synthetic,14.16,4.77234548398983,1,0,0,12.0,0.0,0,0,2.4849066497880004,243,1,1,1,0,0.65
DEAL000027,2011-10-20,2012-04-13,Target_000027,Acquirer_001419,240.2,Technology,Semiconductors,India,China,withdrawn,unknown,public,private,standard,no,synthetic,19.9,4.141684549646027,0,0,0,13.0,0.0,0,0,5.485626464853031,176,1,1,0,0,0.65
DEAL000028,1996-06-03,1997-02-02,Target_000028,Acquirer_000027,148.6,Materials,Chemicals,France,US,completed,cash,public,private,none,no,synthetic,16.3,6.299773559891096,1,1,0,5.0,0.0,1,0,5.007965065540377,244,1,1,0,0,0.15
DEAL000029,2019-10-10,2020-06-12,Target_000029,Acquirer_000624,69.8,Consumer,Food & Beverage,US,US,completed,stock,private,public,none,no,synthetic,22.29,2.654746458506539,1,0,0,13.0,0.0,0,0,4.259859000699674,246,0,0,1,0,0.0
DEAL000030,2017-09-24,2018-03-19,Target_000030,Acquirer_000211,46.5,Industrials,Machinery,US,US,completed,mixed,private,public,none,yes,synthetic,15.33,3.008286689324978,1,0,1,0.0,10.0,0,0,3.8607297110405954,176,0,0,1,1,0.0
DEAL000031,2008-12-12,2009-04-30,Target_000031,Acquirer_002890,132.4,Healthcare,Pharmaceuticals,India,Canada,withdrawn,stock,private,private,standard,yes,synthetic,30.0,5.220405024050519,0,1,0,0.0,1.0,1,0,4.893352133481524,139,1,0,0,1,0.65
DEAL000032,2018-10-12,2019-05-09,Target_000032,Acquirer_002043,354.6,Industrials,Machinery,France,US,completed,cash,public,public,standard,yes,synthetic,23.29,3.582397347962919,1,0,0,0.0,23.0,0,0,5.8738065036397495,209,1,1,1,1,0.4
DEAL000033,2011-11-12,2012-06-20,Target_000033,Acquirer_003937,560.5,Industrials,Machinery,France,US,completed,stock,public,public,standard,no,synthetic,21.59,4.086608071269283,1,0,0,12.0,0.0,0,0,6.3306117741784975,221,1,1,1,0,0.4
DEAL000034,2003-10-17,2004-05-17,Target_000034,Acquirer_002470,61.7,Consumer,Retail,US,UK,completed,cash,public,private,standard,yes,synthetic,19.35,4.9665307777814345,1,0,0,13.0,0.0,0,0,4.138361447638875,213,1,1,0,1,0.4
DEAL000035,2008-08-30,2009-04-02,Target_000035,Acquirer_000768,1712.6,Consumer,Media,Australia,China,completed,stock,public,public,standard,no,synthetic,31.08,4.216171085580204,1,1,0,3.0,0.0,1,0,7.446351699693484,215,1,1,1,0,0.4
DEAL000036,2022-11-04,2023-04-20,Target_000036,Acquirer_002625,725.0,Industrials,Machinery,US,Japan,completed,cash,public,private,none,no,synthetic,15.78,5.654313734528094,1,0,0,0.0,24.0,0,0,6.587550014824796,167,1,1,0,0,0.15
DEAL000037,2005-07-12,2005-12-09,Target_000037,Acquirer_002346,326.1,Technology,Hardware,Japan,Canada,completed,cash,public,private,none,yes,synthetic,19.6,4.614491472952903,1,0,1,0.0,8.0,0,0,5.790265934544339,150,1,1,0,1,0.15
DEAL000038,2003-10-18,2004-09-13,Target_000038,Acquirer_003245,321.0,Healthcare,Health Services,Australia,Germany,completed,stock,private,public,standard,no,synthetic,19.87,5.24401517506244,1,0,0,13.0,0.0,0,0,5.7745515455444085,331,1,0,1,0,0.65
DEAL000039,2006-09-22,2007-06-15,Target_000039,Acquirer_004251,71.5,Energy,Renewables,Australia,US,completed,cash,public,public,standard,yes,synthetic,19.34,4.720456823420865,1,0,0,0.0,22.0,0,0,4.283586561860629,266,1,1,1,1,0.4
DEAL000040,2003-07-08,2004-03-12,Target_000040,Acquirer_001537,504.0,Technology,IT Services,India,Canada,completed,stock,public,public,standard,no,synthetic,14.81,5.624474440004868,1,0,0,16.0,0.0,0,0,6.22455842927536,248,1,1,1,0,0.4
DEAL000041,2010-12-08,2011-05-04,Target_000041,Acquirer_004334,142.5,Consumer,Food & Beverage,India,Canada,completed,cash,private,public,standard,no,synthetic,22.17,3.6910502749840384,1,0,0,23.0,0.0,0,0,4.966335035199676,147,1,0,1,0,0.4
DEAL000042,2004-08-20,2005-04-29,Target_000042,Acquirer_004927,101.4,Technology,IT Services,Japan,Australia,completed,stock,private,public,standard,unknown,synthetic,16.44,4.705353886759106,1,1,0,3.0,0.0,1,0,4.628886712605407,252,1,0,1,0,0.4
DEAL000043,1997-08-06,1998-03-25,Target_000043,Acquirer_003376,46.9,Financials,Fintech,US,India,completed,mixed,private,private,standard,no,synthetic,18.6,5.624409279442841,1,0,1,0.0,9.0,0,0,3.8691155044168695,231,1,0,0,0,0.4
DEAL000044,2023-08-07,2024-03-09,Target_000044,Acquirer_002006,448.9,Energy,Oil & Gas,China,Japan,completed,mixed,private,public,standard,no,synthetic,24.37,7.327892293820267,1,0,0,15.0,0.0,0,0,6.109025335847127,215,1,0,1,0,0.65
DEAL000045,2011-12-10,2012-07-07,Target_000045,Acquirer_001709,528.1,Materials,Construction Materials,US,China,completed,mixed,private,private,standard,no,synthetic,17.65,4.2961027067874245,1,0,0,11.0,0.0,0,0,6.271177449910086,210,1,0,0,0,0.4
DEAL000046,2002-05-13,2002-11-11,Target_000046,Acquirer_000335,2702.2,Energy,Renewables,US,US,completed,cash,public,public,standard,no,synthetic,21.76,4.543214940332095,1,0,0,0.0,18.0,0,0,7.90219153540008,182,0,1,1,0,0.35
DEAL000047,2006-01-20,2006-08-17,Target_000047,Acquirer_004545,19.6,Materials,Metals & Mining,US,Australia,completed,stock,private,public,none,unknown,synthetic,14.75,5.034323158525735,1,0,0,0.0,14.0,0,0,3.0252910757955354,209,1,0,1,0,0.15
DEAL000048,1997-10-04,1998-04-04,Target_000048,Acquirer_002191,172.4,Energy,Oil & Gas,Japan,France,cancelled,stock,private,public,standard,no,synthetic,16.91,5.678358731635208,0,0,1,0.0,11.0,0,0,5.155601064346442,182,1,0,1,0,0.65
DEAL000049,2023-02-07,2023-11-16,Target_000049,Acquirer_000515,7.6,Energy,Oil & Gas,US,China,completed,cash,public,public,standard,no,synthetic,20.78,7.391975739523719,1,0,0,21.0,0.0,0,0,2.151762203259462,282,1,1,1,0,0.65
DEAL000050,2022-01-13,2022-08-13,Target_000050,Acquirer_001970,511.7,Industrials,Machinery,US,Canada,completed,cash,public,public,standard,unknown,synthetic,17.5,4.633643630358348,1,0,0,0.0,14.0,0,0,6.239690878789655,212,1,1,1,0,0.4
DEAL000051,2009-07-19,2009-11-27,Target_000051,Acquirer_001212,1202.3,Consumer,Media,US,France,terminated,stock,private,public,standard,no,synthetic,21.41,3.86218564989179,0,0,1,0.0,8.0,0,0,7.092823061444117,131,1,0,1,0,0.4
DEAL000052,1998-08-09,1998-12-05,Target_000052,Acquirer_000553,742.9,Technology,Hardware,US,US,withdrawn,stock,public,public,none,no,synthetic,18.29,6.112335290540212,0,0,0,0.0,21.0,0,0,6.611906617197295,118,0,1,1,0,0.0
DEAL000053,2003-03-16,2003-08-12,Target_000053,Acquirer_004923,4784.5,Materials,Metals & Mining,Canada,Australia,withdrawn,cash,private,public,standard,no,synthetic,22.16,5.344148457144511,0,0,0,20.0,0.0,0,0,8.47334579163596,149,1,0,1,0,0.5
DEAL000054,2016-05-11,2016-12-24,Target_000054,Acquirer_003692,2759.3,Healthcare,Medical Devices,China,US,completed,cash,private,public,standard,yes,synthetic,15.27,3.558796521799536,1,1,0,6.0,0.0,1,0,7.923094648456425,227,1,0,1,1,0.5
DEAL000055,2022-10-19,2023-03-08,Target_000055,Acquirer_000634,846.7,Technology,IT Services,India,UK,completed,mixed,private,public,standard,no,synthetic,16.13,4.619873784430742,1,0,0,0.0,23.0,0,0,6.74252679961436,140,1,0,1,0,0.4
DEAL000056,2001-07-02,2002-02-01,Target_000056,Acquirer_004369,1084.5,Technology,Software,France,Australia,completed,cash,public,public,standard,no,synthetic,29.18,5.789991860136833,1,0,1,0.0,8.0,0,0,6.989795989318346,214,1,1,1,0,0.4
DEAL000057,2022-10-20,2023-02-10,Target_000057,Acquirer_002601,93.1,Energy,Utilities,US,UK,cancelled,cash,public,private,standard,no,synthetic,18.68,4.66422839956337,0,0,0,0.0,23.0,0,0,4.544358046591334,113,1,1,0,0,0.4
DEAL000058,2014-09-08,2015-02-03,Target_000058,Acquirer_003708,185.6,Materials,Metals & Mining,UK,US,terminated,mixed,private,public,standard,yes,synthetic,16.12,3.3022615815689886,0,0,0,0.0,22.0,0,0,5.228967288413243,148,1,0,1,1,0.4
DEAL000059,2024-08-26,2024-12-28,Target_000059,Acquirer_001973,192.5,Financials,Fintech,China,France,withdrawn,cash,public,public,standard,no,synthetic,17.1,9.0,0,1,0,3.0,0.0,1,0,5.2652775124698366,124,1,1,1,0,0.4
DEAL000060,2004-12-04,2005-05-15,Target_000060,Acquirer_001217,601.8,Industrials,Aerospace & Defense,UK,China,terminated,cash,private,private,standard,no,synthetic,14.65,4.797222500490976,0,1,0,0.0,1.0,1,0,6.401585466752341,162,1,0,0,0,0.65
DEAL000061,2003-02-05,2003-08-28,Target_000061,Acquirer_001262,11.7,Industrials,Transportation,Canada,US,withdrawn,cash,private,private,standard,no,synthetic,16.48,4.621211362839682,0,0,0,21.0,0.0,0,0,2.5416019934645457,204,1,0,0,0,0.4
DEAL000062,2019-09-05,2020-03-05,Target_000062,Acquirer_000826,95.9,Consumer,Media,France,Germany,completed,cash,public,private,none,no,synthetic,26.33,2.395743172029552,1,0,0,14.0,0.0,0,0,4.5736795188967205,182,1,1,0,0,0.15
DEAL000063,1997-04-02,1998-01-28,Target_000063,Acquirer_004480,4868.0,Healthcare,Medical Devices,India,US,completed,unknown,public,private,standard,no,synthetic,19.39,5.621132919898296,1,0,1,0.0,5.0,1,0,8.4906438561827,301,1,1,0,0,0.5
DEAL000064,2011-07-06,2012-01-22,Target_000064,Acquirer_000806,13.2,Energy,Utilities,US,US,completed,unknown,private,public,standard,no,synthetic,17.59,4.215516926876085,1,0,0,16.0,0.0,0,0,2.653241964607215,200,0,0,1,0,0.25
DEAL000065,2001-04-17,2001-10-02,Target_000065,Acquirer_000817,2620.4,Materials,Chemicals,Canada,US,withdrawn,stock,public,public,standard,yes,synthetic,26.38,5.704557583827181,0,0,1,0.0,5.0,1,0,7.871463805185445,168,1,1,1,1,0.5
DEAL000066,2020-05-07,2021-03-13,Target_000066,Acquirer_002343,0.9,Materials,Chemicals,Japan,UK,completed,unknown,private,public,standard,yes,synthetic,26.04,3.777168124961194,1,1,0,6.0,0.0,1,0,0.6418538861723948,310,1,0,1,1,0.4
DEAL000067,2002-02-09,2002-08-08,Target_000067,Acquirer_000011,187.8,Materials,Metals & Mining,Canada,Japan,completed,unknown,public,public,standard,no,synthetic,23.24,5.17752722775097,1,0,0,0.0,15.0,0,0,5.240688253711401,180,1,1,1,0,0.4
DEAL000068,2008-01-02,2008-08-03,Target_000068,Acquirer_002998,119.3,Consumer,Media,Canada,France,completed,stock,private,public,standard,no,synthetic,27.68,4.692792593504557,1,1,0,10.0,0.0,0,0,4.789988622980633,214,1,0,1,0,0.4
DEAL000069,2017-10-11,2018-02-23,Target_000069,Acquirer_001831,2036.3,Industrials,Aerospace & Defense,US,China,withdrawn,mixed,public,public,standard,no,synthetic,18.33,3.599501252750473,0,0,1,0.0,11.0,0,0,7.619380680787855,135,1,1,1,0,0.75
DEAL000070,2019-12-28,2020-05-19,Target_000070,Acquirer_003314,126.2,Technology,Semiconductors,China,China,completed,cash,public,public,none,no,synthetic,24.74,2.601581935728671,1,0,0,11.0,0.0,0,0,4.845760650906022,143,0,1,1,0,0.25
DEAL000071,2004-02-19,2004-07-02,Target_000071,Acquirer_001012,355.7,Healthcare,Biotech,China,China,completed,stock,private,private,none,no,synthetic,18.06,5.378212909915872,1,1,0,9.0,0.0,0,0,5.876895092364846,134,0,0,0,0,0.0
DEAL000072,2011-10-16,2012-05-06,Target_000072,Acquirer_003051,220.9,Technology,IT Services,UK,India,completed,cash,private,private,standard,no,synthetic,19.75,4.090770354949063,1,0,0,13.0,0.0,0,0,5.402226829938548,203,1,0,0,0,0.4
DEAL000073,2023-09-05,2024-04-14,Target_000073,Acquirer_003724,426.8,Materials,Chemicals,Australia,US,completed,mixed,private,public,standard,no,synthetic,18.37,7.654468767206385,1,0,0,14.0,0.0,0,0,6.0586557966483054,222,1,0,1,0,0.4
DEAL000074,2004-04-21,2004-10-22,Target_000074,Acquirer_000838,1210.0,Healthcare,Medical Devices,Japan,Germany,completed,cash,public,private,standard,no,synthetic,17.55,4.514153214772829,1,1,0,7.0,0.0,0,0,7.099201743553092,184,1,1,0,0,0.4
DEAL000075,2023-06-06,2024-06-12,Target_000075,Acquirer_004664,14970.2,Healthcare,Pharmaceuticals,Canada,Australia,completed,unknown,public,public,extended,no,synthetic,18.28,7.326666734869333,1,0,0,17.0,0.0,0,0,9.613883634521649,372,1,1,1,0,1.0
DEAL000076,2000-07-07,2000-11-07,Target_000076,Acquirer_003430,224.2,Financials,Asset Management,Germany,US,cancelled,stock,private,private,standard,unknown,synthetic,23.81,5.869465404537636,0,1,0,4.0,0.0,1,0,5.4169888962655355,123,1,0,0,0,0.4
DEAL000077,2018-02-16,2018-06-14,Target_000077,Acquirer_004106,29.0,Financials,Insurance,Japan,Australia,withdrawn,cash,public,public,none,no,synthetic,17.41,3.180812518896229,0,0,0,0.0,15.0,0,0,3.4011973816621555,118,1,1,1,0,0.15
DEAL000078,2010-10-16,2011-08-11,Target_000078,Acquirer_003873,221.2,Technology,Software,US,Australia,completed,cash,private,private,standard,no,synthetic,13.03,3.822317059208209,1,0,0,0.0,23.0,0,1,5.40357787720553,299,1,0,0,0,0.4
DEAL000079,2008-04-11,2008-07-10,Target_000079,Acquirer_003761,242.9,Financials,Asset Management,China,US,failed,stock,private,public,none,no,synthetic,27.37,4.445811152775027,0,1,0,7.0,0.0,0,0,5.496758305221874,90,1,0,1,0,0.15
DEAL000080,1997-10-09,1998-01-01,Target_000080,Acquirer_003267,333.3,Financials,Asset Management,India,India,completed,cash,public,private,none,no,synthetic,14.46,5.395171829450252,1,0,1,0.0,11.0,0,0,5.812038793426053,84,0,1,0,0,0.0
DEAL000081,1996-03-09,1996-11-01,Target_000081,Acquirer_003552,8832.0,Energy,Utilities,Germany,UK,completed,cash,public,public,standard,no,synthetic,15.51,5.966059787335196,1,1,0,8.0,0.0,0,0,9.086249986745132,237,1,1,1,0,0.5
DEAL000082,2017-11-18,2018-08-25,Target_000082,Acquirer_002820,30.5,Healthcare,Pharmaceuticals,Germany,Canada,completed,stock,public,public,standard,no,synthetic,18.92,3.51518615218984,1,0,1,0.0,12.0,0,0,3.449987545831587,280,1,1,1,0,0.65
DEAL000083,2020-05-16,2020-11-28,Target_000083,Acquirer_002928,4026.7,Materials,Metals & Mining,US,Canada,completed,cash,private,public,standard,yes,synthetic,26.03,3.0480906837898343,1,1,0,6.0,0.0,1,0,8.300950772415327,196,1,0,1,1,0.5
DEAL000084,2005-12-20,2006-08-10,Target_000084,Acquirer_001324,6784.9,Financials,Banks,US,UK,failed,stock,public,private,standard,no,synthetic,14.58,4.105752528007843,0,0,1,0.0,13.0,0,0,8.822602209013963,233,1,1,0,0,0.75
DEAL000085,2016-01-25,2016-08-02,Target_000085,Acquirer_002006,57.3,Energy,Oil & Gas,India,US,completed,cash,private,public,standard,no,synthetic,15.19,2.926348667240691,1,1,0,10.0,0.0,0,0,4.065602093356446,190,1,0,1,0,0.65
DEAL000086,2009-08-20,2010-01-19,Target_000086,Acquirer_000516,559.6,Technology,IT Services,US,India,completed,mixed,public,public,standard,no,synthetic,23.68,4.1451402486172135,1,0,1,0.0,9.0,0,0,6.329007638730688,152,1,1,1,0,0.4
DEAL000087,2003-11-09,2004-04-21,Target_000087,Acquirer_003293,67.0,Energy,Utilities,Germany,US,withdrawn,unknown,public,public,standard,no,synthetic,16.96,5.489734532989796,0,0,0,12.0,0.0,0,0,4.219507705176107,164,1,1,1,0,0.4
DEAL000088,2011-04-05,2011-11-10,Target_000088,Acquirer_003344,587.2,Consumer,Telecom,India,US,completed,cash,private,public,standard,no,synthetic,18.1,3.810100220352454,1,0,0,19.0,0.0,0,0,6.377067026119895,219,1,0,1,0,0.65
DEAL000089,2005-09-24,2006-01-25,Target_000089,Acquirer_002328,10.8,Consumer,Retail,Australia,US,completed,cash,private,public,standard,no,synthetic,20.07,4.897882618057125,1,0,1,0.0,10.0,0,0,2.468099531471619,123,1,0,1,0,0.4
DEAL000090,2002-03-25,2002-08-12,Target_000090,Acquirer_004278,20.8,Energy,Oil & Gas,India,Japan,completed,cash,public,private,none,no,synthetic,25.03,5.521542027973473,1,0,0,0.0,16.0,0,0,3.0819099697950434,140,1,1,0,0,0.4
DEAL000091,2022-05-23,2022-11-30,Target_000091,Acquirer_000591,131.5,Financials,Fintech,UK,US,completed,mixed,private,public,standard,no,synthetic,17.5,5.270417747849045,1,0,0,0.0,18.0,0,0,4.886582645426277,191,1,0,1,0,0.4
DEAL000092,2014-03-04,2014-10-12,Target_000092,Acquirer_000200,21.2,Industrials,Aerospace & Defense,UK,US,withdrawn,stock,public,public,standard,yes,synthetic,13.31,3.2300935944729146,0,0,0,0.0,16.0,0,0,3.100092288878234,222,1,1,1,1,0.65
DEAL000093,2012-11-22,2013-06-27,Target_000093,Acquirer_002145,160.7,Industrials,Transportation,Australia,UK,completed,unknown,public,public,standard,no,synthetic,18.82,3.6270858474391696,1,1,0,0.0,0.0,1,0,5.085742766583061,217,1,1,1,0,0.4
DEAL000094,2005-01-06,2005-08-05,Target_000094,Acquirer_004173,375.8,Materials,Construction Materials,Australia,US,completed,cash,public,private,standard,no,synthetic,17.06,5.196524576429827,1,0,1,0.0,2.0,1,0,5.931714542702208,211,1,1,0,0,0.4
DEAL000095,2010-11-22,2011-06-27,Target_000095,Acquirer_004336,1624.5,Financials,Banks,India,China,cancelled,mixed,private,private,standard,no,synthetic,18.14,4.325813795613305,0,0,0,0.0,24.0,0,0,7.39357073974396,217,1,0,0,0,0.65
DEAL000096,2018-02-28,2018-06-04,Target_000096,Acquirer_001807,173.0,Energy,Renewables,Canada,US,completed,cash,public,public,none,no,synthetic,16.33,3.730957453668014,1,0,0,0.0,15.0,0,0,5.159055299214529,96,1,1,1,0,0.15
DEAL000097,2004-03-12,2004-10-27,Target_000097,Acquirer_004680,168.4,Materials,Construction Materials,US,France,completed,unknown,public,public,standard,yes,synthetic,16.6,5.237868244651364,1,1,0,8.0,0.0,0,0,5.132262782217954,229,1,1,1,1,0.4
DEAL000098,2019-02-04,2019-10-11,Target_000098,Acquirer_004320,6276.7,Healthcare,Medical Devices,Japan,France,completed,unknown,public,public,standard,no,synthetic,22.11,3.0212088748103505,1,0,0,21.0,0.0,0,0,8.744758950341033,249,1,1,1,0,0.5
DEAL000099,2013-11-16,2014-06-12,Target_000099,Acquirer_002173,56.4,Financials,Banks,France,US,completed,cash,private,public,standard,no,synthetic,15.83,3.135814700616857,1,0,1,0.0,12.0,0,0,4.050044303325521,208,1,0,1,0,0.65
DEAL000100,2004-01-12,2004-08-12,Target_000100,Acquirer_002108,1189.5,Materials,Chemicals,Canada,India,completed,cash,public,public,standard,no,synthetic,23.91,5.566576040235762,1,1,0,10.0,0.0,0,0,7.082128665926917,213,1,1,1,0,0.4
DEAL000101,2019-03-26,2019-12-30,Target_000101,Acquirer_002140,122.4,Consumer,Media,France,Australia,completed,unknown,private,public,standard,no,synthetic,22.63,2.72015557939291,1,0,0,20.0,0.0,0,0,4.8154311114712876,279,1,0,1,0,0.4
DEAL000102,2006-09-16,2007-04-14,Target_000102,Acquirer_001077,28.8,Energy,Oil & Gas,China,Germany,completed,mixed,public,public,standard,no,synthetic,18.03,4.634880401346957,1,0,0,0.0,22.0,0,0,3.3945083935113587,210,1,1,1,0,0.65
DEAL000103,2004-03-13,2004-06-19,Target_000103,Acquirer_004414,515.4,Healthcare,Biotech,US,US,withdrawn,mixed,private,public,none,no,synthetic,18.87,5.031496385314531,0,1,0,8.0,0.0,0,0,6.246881658972487,98,0,0,1,0,0.0
